val_loss,auc,val_Accuracy,val_CohenKappa,val_F1,val_Recall,val_Precision,epoch,step
0.6850605607032776,0.5,0.5,0.0,0.48571425676345825,0.5,0.5,0,17
0.6596516966819763,0.625,0.6666666865348816,0.0,0.4000000059604645,0.5,0.3333333432674408,1,35
0.6539532542228699,0.875,0.6666666865348816,0.0,0.4000000059604645,0.5,0.3333333432674408,2,53
0.6230190396308899,1.0,0.6666666865348816,0.0,0.4000000059604645,0.5,0.3333333432674408,3,71
0.6542637944221497,1.0,0.8333333134651184,0.6666666269302368,0.8285714387893677,0.875,0.8333333730697632,4,89
0.5951274633407593,1.0,0.6666666865348816,0.0,0.4000000059604645,0.5,0.3333333432674408,5,107
0.8501837849617004,1.0,0.3333333432674408,0.0,0.25,0.5,0.1666666716337204,6,125
0.5854926705360413,1.0,0.8333333134651184,0.5714285373687744,0.7777777910232544,0.75,0.8999999761581421,7,143
0.5485402941703796,1.0,0.8333333134651184,0.5714285373687744,0.7777777910232544,0.75,0.8999999761581421,8,161
0.7933151125907898,1.0,0.3333333432674408,0.0,0.25,0.5,0.1666666716337204,9,179
0.5233423113822937,1.0,0.6666666865348816,0.0,0.4000000059604645,0.5,0.3333333432674408,10,197
1.0038005113601685,1.0,0.3333333432674408,0.0,0.25,0.5,0.1666666716337204,11,215
0.46580740809440613,1.0,0.8333333134651184,0.5714285373687744,0.7777777910232544,0.75,0.8999999761581421,12,233
0.4071444272994995,1.0,0.8333333134651184,0.5714285373687744,0.7777777910232544,0.75,0.8999999761581421,13,251
0.7326159477233887,1.0,0.3333333432674408,0.0,0.25,0.5,0.1666666716337204,14,269
0.42320922017097473,0.875,0.8333333134651184,0.5714285373687744,0.7777777910232544,0.75,0.8999999761581421,15,287
0.40921810269355774,0.875,0.8333333134651184,0.5714285373687744,0.7777777910232544,0.75,0.8999999761581421,16,305
0.6845297813415527,0.875,0.5,0.1818181276321411,0.485714316368103,0.625,0.699999988079071,17,323
1.1272552013397217,0.875,0.3333333432674408,0.0,0.25,0.5,0.1666666716337204,18,341
0.41764700412750244,0.875,0.6666666865348816,0.25,0.625,0.625,0.625,19,359
0.39465126395225525,0.875,0.6666666865348816,0.25,0.625,0.625,0.625,20,377
0.4407993257045746,0.875,0.6666666865348816,0.25,0.625,0.625,0.625,21,395
0.47245731949806213,0.875,0.6666666865348816,0.25,0.625,0.625,0.625,22,413
0.672814130783081,0.75,0.6666666865348816,0.40000003576278687,0.6666666865348816,0.75,0.75,23,431
0.5918365120887756,0.75,0.6666666865348816,0.25,0.625,0.625,0.625,24,449
0.6875076293945312,0.75,0.6666666865348816,0.40000003576278687,0.6666666865348816,0.75,0.75,25,467
0.5762310028076172,0.75,0.6666666865348816,0.25,0.625,0.625,0.625,26,485
0.660306990146637,0.75,0.5,0.0,0.48571425676345825,0.5,0.5,27,503
0.6195561289787292,0.75,0.6666666865348816,0.25,0.625,0.625,0.625,28,521
0.6483684778213501,0.75,0.6666666865348816,0.25,0.625,0.625,0.625,29,539
0.7185044884681702,0.75,0.5,0.0,0.48571425676345825,0.5,0.5,30,557
